Date,Open,High,Low,Close,Volume,Adj Close
2010/5/6,,,,,,
2010/5/7,,,,,,
2010/5/8,,,,,,
2010/5/9,,,,,,
2010/5/10,1122.27,1173.57,1122.27,1135.68,5791750000,1135.68
2010/5/11,,,,,,
2010/5/12,,,,,,
2010/5/13,,,,,,
2010/5/14,,,,,,
2010/5/15,,,,,,
2010/5/16,,,,,,
2010/5/17,1136.52,1148.66,1055.9,1087.69,6528051900,1087.69
2010/5/18,,,,,,
2010/5/19,,,,,,
2010/5/20,,,,,,
2010/5/21,,,,,,
2010/5/22,,,,,,
2010/5/23,,,,,,
2010/5/24,1084.78,1103.52,1040.78,1089.41,5528868000,1089.41
2010/5/25,,,,,,
2010/5/26,,,,,,
2010/5/27,,,,,,
2010/5/28,,,,,,
2010/5/29,,,,,,
2010/5/30,,,,,,
2010/5/31,,,,,,
2010/6/1,1087.3,1105.67,1060.5,1064.88,5368597500,1064.88
2010/6/2,,,,,,
2010/6/3,,,,,,
2010/6/4,,,,,,
2010/6/5,,,,,,
2010/6/6,,,,,,
2010/6/7,1065.84,1092.25,1042.17,1091.6,5369514000,1091.6
2010/6/8,,,,,,
2010/6/9,,,,,,
2010/6/10,,,,,,
2010/6/11,,,,,,
2010/6/12,,,,,,
2010/6/13,,,,,,
2010/6/14,1095,1121.01,1089.03,1117.51,4637208000,1117.51
2010/6/15,,,,,,
2010/6/16,,,,,,
2010/6/17,,,,,,
2010/6/18,,,,,,
2010/6/19,,,,,,
2010/6/20,,,,,,
2010/6/21,1122.79,1131.23,1067.89,1076.76,4699712000,1076.76
2010/6/22,,,,,,
2010/6/23,,,,,,
2010/6/24,,,,,,
2010/6/25,,,,,,
2010/6/26,,,,,,
2010/6/27,,,,,,
2010/6/28,1077.5,1082.6,1010.91,1022.58,5100892000,1022.58
2010/6/29,,,,,,
2010/6/30,,,,,,
2010/7/1,,,,,,
2010/7/2,,,,,,
2010/7/3,,,,,,
2010/7/4,,,,,,
2010/7/5,,,,,,
2010/7/6,1028.09,1078.16,1018.35,1077.96,4419372500,1077.96
2010/7/7,,,,,,
2010/7/8,,,,,,
2010/7/9,,,,,,
2010/7/10,,,,,,
2010/7/11,,,,,,
2010/7/12,1077.23,1099.46,1063.32,1064.88,4487664000,1064.88
2010/7/13,,,,,,
2010/7/14,,,,,,
2010/7/15,,,,,,
2010/7/16,,,,,,
2010/7/17,,,,,,
2010/7/18,,,,,,
2010/7/19,1066.85,1103.73,1056.88,1102.66,4580286000,1102.66
2010/7/20,,,,,,
2010/7/21,,,,,,
2010/7/22,,,,,,
2010/7/23,,,,,,
2010/7/24,,,,,,
2010/7/25,,,,,,
2010/7/26,1102.89,1120.95,1088.01,1101.6,4271320000,1101.6
2010/7/27,,,,,,
2010/7/28,,,,,,
2010/7/29,,,,,,
2010/7/30,,,,,,
2010/7/31,,,,,,
2010/8/1,,,,,,
2010/8/2,1107.53,1128.75,1107.17,1121.64,3963460000,1121.64
2010/8/3,,,,,,
2010/8/4,,,,,,
2010/8/5,,,,,,
2010/8/6,,,,,,
2010/8/7,,,,,,
2010/8/8,,,,,,
2010/8/9,1122.8,1129.24,1076.69,1079.25,4064104000,1079.25
2010/8/10,,,,,,
2010/8/11,,,,,,
2010/8/12,,,,,,
2010/8/13,,,,,,
2010/8/14,,,,,,
2010/8/15,,,,,,
2010/8/16,1077.49,1100.14,1063.91,1071.69,3777406000,1071.69
2010/8/17,,,,,,
2010/8/18,,,,,,
2010/8/19,,,,,,
2010/8/20,,,,,,
2010/8/21,,,,,,
2010/8/22,,,,,,
2010/8/23,1073.36,1081.58,1039.7,1064.59,3951328000,1064.59
2010/8/24,,,,,,
2010/8/25,,,,,,
2010/8/26,,,,,,
2010/8/27,,,,,,
2010/8/28,,,,,,
2010/8/29,,,,,,
2010/8/30,1062.9,1105.1,1040.88,1104.51,3718470000,1104.51
2010/8/31,,,,,,
2010/9/1,,,,,,
2010/9/2,,,,,,
2010/9/3,,,,,,
2010/9/4,,,,,,
2010/9/5,,,,,,
2010/9/6,,,,,,
2010/9/7,1102.6,1110.88,1091.15,1109.55,3195237500,1109.55
2010/9/8,,,,,,
2010/9/9,,,,,,
2010/9/10,,,,,,
2010/9/11,,,,,,
2010/9/12,,,,,,
2010/9/13,1113.38,1131.47,1113.38,1125.59,3972432000,1125.59
2010/9/14,,,,,,
2010/9/15,,,,,,
2010/9/16,,,,,,
2010/9/17,,,,,,
2010/9/18,,,,,,
2010/9/19,,,,,,
2010/9/20,1126.57,1148.9,1122.79,1148.67,3884522000,1148.67
2010/9/21,,,,,,
2010/9/22,,,,,,
2010/9/23,,,,,,
2010/9/24,,,,,,
2010/9/25,,,,,,
2010/9/26,,,,,,
2010/9/27,1148.64,1157.16,1132.09,1146.24,4037410000,1146.24
2010/9/28,,,,,,
2010/9/29,,,,,,
2010/9/30,,,,,,
2010/10/1,,,,,,
2010/10/2,,,,,,
2010/10/3,,,,,,
2010/10/4,1144.96,1167.73,1131.87,1165.15,3905616000,1165.15
2010/10/5,,,,,,
2010/10/6,,,,,,
2010/10/7,,,,,,
2010/10/8,,,,,,
2010/10/9,,,,,,
2010/10/10,,,,,,
2010/10/11,1165.32,1184.38,1155.71,1176.19,4449160000,1176.19
2010/10/12,,,,,,
2010/10/13,,,,,,
2010/10/14,,,,,,
2010/10/15,,,,,,
2010/10/16,,,,,,
2010/10/17,,,,,,
2010/10/18,1176.83,1189.43,1159.71,1183.08,4576282000,1183.08
2010/10/19,,,,,,
2010/10/20,,,,,,
2010/10/21,,,,,,
2010/10/22,,,,,,
2010/10/23,,,,,,
2010/10/24,,,,,,
2010/10/25,1184.74,1196.14,1171.7,1183.26,4116414000,1183.26
2010/10/26,,,,,,
2010/10/27,,,,,,
2010/10/28,,,,,,
2010/10/29,,,,,,
2010/10/30,,,,,,
2010/10/31,,,,,,
2010/11/1,1185.71,1227.08,1177.65,1225.85,4798758000,1225.85
2010/11/2,,,,,,
2010/11/3,,,,,,
2010/11/4,,,,,,
2010/11/5,,,,,,
2010/11/6,,,,,,
2010/11/7,,,,,,
2010/11/8,1223.24,1226.84,1194.08,1199.21,4298262000,1199.21
2010/11/9,,,,,,
2010/11/10,,,,,,
2010/11/11,,,,,,
2010/11/12,,,,,,
2010/11/13,,,,,,
2010/11/14,,,,,,
2010/11/15,1200.44,1207.43,1173,1199.73,4177436000,1199.73
2010/11/16,,,,,,
2010/11/17,,,,,,
2010/11/18,,,,,,
2010/11/19,,,,,,
2010/11/20,,,,,,
2010/11/21,,,,,,
2010/11/22,1198.07,1198.94,1176.91,1189.4,3205160000,1189.4
2010/11/23,,,,,,
2010/11/24,,,,,,
2010/11/25,,,,,,
2010/11/26,,,,,,
2010/11/27,,,,,,
2010/11/28,,,,,,
2010/11/29,1189.08,1225.57,1173.64,1224.71,4242568000,1224.71
2010/11/30,,,,,,
2010/12/1,,,,,,
2010/12/2,,,,,,
2010/12/3,,,,,,
2010/12/4,,,,,,
2010/12/5,,,,,,
2010/12/6,1223.87,1240.4,1219.5,1240.4,4835082000,1240.4
2010/12/7,,,,,,
2010/12/8,,,,,,
2010/12/9,,,,,,
2010/12/10,,,,,,
2010/12/11,,,,,,
2010/12/12,,,,,,
2010/12/13,1242.52,1246.73,1232.85,1243.91,4454044000,1243.91
2010/12/14,,,,,,
2010/12/15,,,,,,
2010/12/16,,,,,,
2010/12/17,,,,,,
2010/12/18,,,,,,
2010/12/19,,,,,,
2010/12/20,1245.76,1259.39,1241.51,1256.77,2707105000,1256.77
2010/12/21,,,,,,
2010/12/22,,,,,,
2010/12/23,,,,,,
2010/12/24,,,,,,
2010/12/25,,,,,,
2010/12/26,,,,,,
2010/12/27,1254.66,1262.6,1251.48,1257.64,2091158000,1257.64
2010/12/28,,,,,,
2010/12/29,,,,,,
2010/12/30,,,,,,
2010/12/31,,,,,,
2011/1/1,,,,,,
2011/1/2,,,,,,
2011/1/3,1257.62,1278.17,1257.62,1271.5,4731044000,1271.5
2011/1/4,,,,,,
2011/1/5,,,,,,
2011/1/6,,,,,,
2011/1/7,,,,,,
2011/1/8,,,,,,
2011/1/9,,,,,,
2011/1/10,1270.84,1293.24,1262.18,1293.24,4257314000,1293.24
2011/1/11,,,,,,
2011/1/12,,,,,,
2011/1/13,,,,,,
2011/1/14,,,,,,
2011/1/15,,,,,,
2011/1/16,,,,,,
2011/1/17,,,,,,
2011/1/18,1293.22,1296.06,1271.26,1283.35,4974835000,1283.35
2011/1/19,,,,,,
2011/1/20,,,,,,
2011/1/21,,,,,,
2011/1/22,,,,,,
2011/1/23,,,,,,
2011/1/24,1283.29,1302.67,1275.1,1276.34,4631330000,1276.34
2011/1/25,,,,,,
2011/1/26,,,,,,
2011/1/27,,,,,,
2011/1/28,,,,,,
2011/1/29,,,,,,
2011/1/30,,,,,,
2011/1/31,1276.5,1311,1276.5,1310.87,4345372000,1310.87
2011/2/1,,,,,,
2011/2/2,,,,,,
2011/2/3,,,,,,
2011/2/4,,,,,,
2011/2/5,,,,,,
